ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,CB28,CB52,CB101,CB118,CB153,CB138,CB180
P91/04516,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.4,50.7,4.15,0,0.0067,0.0724,0.0449,0.3037,0.2697,0.2669
P91/04517,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,18.4,48.8,6.3,0,0.0066,0.0466,0.0274,0.1884,0.1696,0.1694
P91/04518,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.8,52.7,3.43,0,0.0088,0.067,0.0374,0.257,0.2287,0.2332
P91/04519,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,18.5,49.9,2.56,0,0.0057,0.0409,0.0324,0.1608,0.1415,0.1056
P91/04520,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,18.9,47.4,1.97,0,0.0072,0.0533,0.0311,0.2072,0.1921,0.1918
P91/03554,1991,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,5,17.9,70.7,0.7,0.004,NA,0.024,NA,0.106,0.072,0.016
P91/03555,1991,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,5,19.7,84.2,0.74,0.004,NA,0.046,NA,0.204,0.141,0.029
P91/03556,1991,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,6,18.4,79.8,0.77,0.003,NA,0.013,NA,0.074,0.047,0.009
P91/03558,1991,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,5,19.3,86.8,0.68,0.004,NA,0.048,NA,0.24,0.158,0.034
P91/03559,1991,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,5,19.1,100,0.58,0.004,NA,0.02,NA,0.113,0.072,0.018
P91/04521,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.1,53,2.8,0,0.0105,0.1848,0.0447,0.8447,0.7037,0.8288
P91/04522,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,18.1,46.5,3.88,0,0.009,0.0718,0.0442,0.2825,0.2487,0.2255
P91/04523,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,18,45,4.4,0,0.0097,0.0626,0.0364,0.2159,0.1884,0.164
P91/04524,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,18.9,47.9,1.75,0,0.0095,0.0743,0.0487,0.272,0.2419,0.196
P91/04525,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.2,49.6,1.76,0,0.0213,0.0692,0.0557,0.1498,0.1565,0.0799
P91/04143,1991,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,18.1,44,6.13,0.0068,0.0183,0.0401,0.0322,0.0576,0.0546,0.0163
P91/04144,1991,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,17.3,37,6.08,0.0066,0.0186,0.041,0.0302,0.056,0.0527,0.014
P91/04145,1991,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,17,39.6,5.68,0.004,0.0106,0.0269,0.0241,0.0404,0.0414,0.0102
P92/02597,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,19.8,66.2,0.94,0.0149,0.0628,NA,0.1872,0.4489,0.4096,0.1202
P92/02598,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.7,71,4.27,0.0077,0.0133,NA,0.0454,0.07,0.0691,0.0169
P92/02599,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.2,59.1,2.32,0.0116,0.0263,NA,0.069,0.1784,0.1539,0.0414
P92/02600,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.8,68.1,2.01,0.0075,0.0229,NA,0.1104,0.2567,0.2363,0.0647
P92/02601,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21,68,3.9,0.0074,0.01,NA,0.0495,0.101,0.1,0.0256
P92/02602,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22.8,84.6,5.34,0.0069,0.0142,NA,0.0393,0.0745,0.0712,0.0197
